,titre,jour_publication,auteur,categorie
0,"Lundi poésie : aujourd'hui, «je t’aime d’être rousse et pareille à l’automne»",2020/02/03,guillaume-lecaplain,Culture
1,"Face au «plan de paix» de Trump, l'union rare des Européens",2020/02/03,jean-quatremer,International
2,Les poissons sont mieux pêchés… mais rétrécissent,2020/02/03,coralie-schaub,Société
3,Paris : le vélo sort de la grève et entre en campagne,2020/02/03,julien-guillot,Société
4,"Coronavirus, réforme des retraites à l'Assemblée, Macron en Pologne... l'actu de ce lundi matin",2020/02/03,liberation,International
5,Un chewing gum qui fait grossir les seins ?,2020/02/03,agnes-giard,Idées et Débats
6,"Travail d’intérêt général : «Ce qui prévaut, c’est la pérennité des postes que nous proposons»",2020/02/03,donia-ismail,Société
7,Etats-Unis : tout comprendre aux primaires démocrates,2020/02/03,baptiste-bouthier,International
8,Le stage proposé par Manon Aubry est-il vraiment rémunéré «dans la fourchette haute» du Parlement ?,2020/02/03,emma-donada,CheckNews
9,Pour une recherche fondamentale publique et française,2020/02/03,emma-donada,Opinions
10,Le son du jour #423 : élevé comme Elephant Château,2020/02/03,olivier-lamm,Musique
11,Etats-Unis : «Personne ne sait quelle est la meilleure voie pour battre Trump»,2020/02/03,frederic-autran,International
12,Greffe d’utérus ou GPA ?,2020/02/03,genevieve-delaisi-de-parseval,Opinions
13,Réforme du bac : des épreuves qui ne passent pas,2020/02/03,genevieve-delaisi-de-parseval,Opinions
14,Congés pour le décès d’un enfant : l’éloquente boulette de Pénicaud,2020/02/03,laurent-joffrin,Politique
15,Le gilet jaune Eric Drouet a-t-il acheté une Jaguar ? ,2020/02/03,jacques-pezet,CheckNews
16,Epilogue de l'affaire Vincent Lambert : des médecins bien mal traités,2020/02/03,eric-favereau,Société
17,Affaire Mila : la lycéenne a-t-elle lancé une cagnotte pour financer un disque ?,2020/02/03,anais-condomines,CheckNews
18,Le rappeur français MHD est-il sorti de prison ?,2020/02/03,service-checknews,CheckNews
19,Radio France : la CGT «suspend» la grève,2020/02/03,jerome-lefilliatre,Société
20,Violences sexuelles dans le patinage français: la ministre demande la démission du président de la fédération,2020/02/03,afp,Société
21,Le candidat RN qui voulait former «les enfants au tir face aux islamistes»,2020/02/03,tristan-berteloot,Politique
22,Un peu de cogestion dans le capitalisme ?,2020/02/03,bruno-amable,Opinions
23,"«La Vallée de l’étrange», salades d’automate",2020/02/03,bruno-amable,Scènes
24,Ce «plan de paix» qui prépare l’apartheid,2020/02/03,bruno-amable,Opinions
25,Philippe Goujon : le colonel en prend pour son grade,2020/02/03,dominique-albertini,Société
26,"Mila, son droit au blasphème, tout ça, tout ça…",2020/02/03,luc-le-vaillant,Opinions
27,David Geselson : «Un fossé culturel énorme dans la manière de travailler»,2020/02/03,anne-diatkine,Scènes
28,Les gros maux de Jérémy Ferrari,2020/02/03,sandra-onana,Scènes
29,"A Paris, sur le marché du XVe, des électeurs LR remontés",2020/02/03,dominique-albertini,Société
30,"Le chœur antique,  une bande de filles",2020/02/03,eve-beauvallet,Scènes
31,"«Les Contes d’Hoffmann», claque de fin",2020/02/03,guillaume-tion,Scènes
32,"Nina Simone, la voix sans maître",2020/02/03,anne-diatkine,Scènes
33,Aurore Bergé a-t-elle voté contre l'allongement du congé pour le deuil d'un enfant ?,2020/02/03,emma-donada,CheckNews
34,L’éloquente «boulette» de Pénicaud,2020/02/03,laurent-joffrin,Société
35,Un conflit armé entre Ankara et Damas met à l’épreuve les relations russo-turques,2020/02/03,hala-kodmani,International
36,"Afghanistan : mon voisin, ce taliban devenu fréquentable",2020/02/03,solene-chalvon-fioriti,International
37,"Mères sans papiers : à Port-Royal, «il y a de l’humanité»",2020/02/03,anais-moran,Société
38,"Réforme des retraites, coronavirus, négociations post-Brexit... l'essentiel de ce lundi",2020/02/03,liberation,Société
39,"Dans les écoles, le tableau noir de l’amiante",2020/02/03,aurore-coulaud,Société
40,Quid de mon établissement ?,2020/02/03,aurore-coulaud,Société
41,Explosif,2020/02/03,paul-quinio,Société
42,"Amiante : à Paris, deux tiers des écoles et collèges concernés",2020/02/03,aurore-coulaud,Société
43,Amiante à l'école : «Personne ne maîtrise le dossier et tout le monde se renvoie la balle»,2020/02/03,aurore-coulaud,Société
44,A votre bon cœur pour le «faux Le Drian»,2020/02/03,julie-brafman,Société
45,Coronavirus : «Une stigmatisation s’opère à l’intérieur même de Wuhan»,2020/02/03,valentin-cebron,International
46,"Primaires démocrates, la course à l’investiture au jour le jour",2020/02/03,valentin-cebron,International
47,Médiamétrie TF1 au plancher en janvier,2020/02/03,valentin-cebron,Société
48,"A Umm al-Fahm, «on tente de nous bazarder en secret»",2020/02/03,guillaume-gendron,International
49,Temps de parole : les règles du CSA,2020/02/03,guillaume-gendron,Société
50,Retour sur la pointe des pieds pour Najat Vallaud-Belkacem,2020/02/03,rachid-laireche,Société
51,«Elle est menacée et je demande au gouvernement et à Emmanuel Macron de soutenir [la patronne d’Engie] Isabelle Kocher.»,2020/02/03,jean-christophe-feraud,Société
52,Michel Barnier : «Nous ne serons pas naïfs.»,2020/02/03,jean-christophe-feraud,International
53,Réforme du bac : le cri de colère président de la FCPE,2020/02/03,jean-christophe-feraud,Société
54,Ankara-Damas : un conflit armé met à l’épreuve les relations russo-turques,2020/02/03,hala-kodmani,International
55,"Avocats en colère : «A l’arrivée, c’est le justiciable qui trinquera»",2020/02/03,julie-brafman,Société
56,Radio France : la CGT «suspend» la grève,2020/02/03,jerome-lefilliatre,Société
57,Affaire Mila : la lycéenne a-t-elle lancé une cagnotte pour financer un disque ?,2020/02/03,jerome-lefilliatre,Société
58,Epilogue amer pour l’affaire Lambert,2020/02/03,eric-favereau,Société
59,Viols Maracineanu demande le départ du président de la Fédération des sports de glace,2020/02/03,eric-favereau,Société
60,Goulags,2020/02/03,eric-favereau,International
61,49 parlementaires espagnols ,2020/02/03,francois-xavier-gomez,International
62,"A Paris, le vélo sort de la grève et entre en campagne",2020/02/03,julien-guillot,Environnement
63,Montpellier : la justice ne tranche pas le différend écolo,2020/02/03,julien-guillot,Société
64,Un collègue de l’élu RN Christophe Marécaux : «Il n’est pas méchant mais c’est un extrémiste.»,2020/02/03,tristan-berteloot,Société
65,"A Lyon, Kimelfeld tracte sans papier",2020/02/03,maite-darnault,Société
66,"Patrick Revelli, il a la Sa (i) nté",2020/02/03,rico-rizzitelli,Société
67,Exclusif Ces écoles rongées par l’amiante,2020/02/03,rico-rizzitelli,Société
68,Sanofi mis en examen dans le scandale de la Dépakine,2020/02/03,liberation,Société
