titre,jour_publication,auteur,categorie
"Régionales : dans les Hauts-de-France, l’union de la gauche dans la douleur",2020/10/05,stephanie-maurice,Politique
"Nouvelles restrictions à Paris, les Alpes-Maritimes meurtries par la tempête, Dominique Simonnot nommée Contrôleuse générale des prisons... l'actu de ce lundi",2020/10/05,liberation,International
La guerre au Haut-Karabakh gagne encore en ampleur,2020/10/05,nelly-didelot,International
Trois suspects arrêtés : l'ombre du génocide des Tutsis ressurgit en Belgique,2020/10/05,maria-malagardis,International
"Dans la vallée de la Vésubie, «la disparition d’un patrimoine»",2020/10/05,mathilde-frenois,Société
Covid-19 : coup de boutoir au comptoir,2020/10/05,christophe-alix,Société
"A Assas, «je préférerais même que tout soit en distanciel»",2020/10/05,maxime-lemaitre,Société
"Mineurs isolés : dans les grandes villes, une situation tendue",2020/10/05,maxime-lemaitre,Politique
Mineurs isolés : les écueils avant l’accueil,2020/10/05,gurvan-kristanadjaja,Politique
"De Tanger à Melilla, des mineurs candidats au départ",2020/10/05,gurvan-kristanadjaja,International
Générosité,2020/10/05,paul-quinio,Editorial
"A Paris, une «école des sans-école» à bout de bras de bénévoles",2020/10/05,marie-piquemal,Politique
"Sophie Pétronin, presque quatre ans aux mains des groupes armés",2020/10/05,maria-malagardis,International
"En Guinée, des ONG dénoncent des «violations graves des droits humains» par le pouvoir ",2020/10/05,lea-masseguin,International
Traitements anti-Covid : de quoi Trump est-il le cobaye ?,2020/10/05,camille-gevaudan,International
Etats-Unis : l’épidémie s’accroche,2020/10/05,frederic-autran,International
Engie passe en force et vend Suez à Veolia ,2020/10/05,franck-bouaziz,Société
Ecole obligatoire dès 3 ans : «On se battra pour que nos enfants restent à la maison»,2020/10/04,cecile-bourgneuf,Société
La ruée vers les centres de données africains,2020/10/04,vincent-hiribarren,Idées et Débats
"«Le ""stealthing"" devrait être qualifié de viol par surprise»",2020/10/04,alexandra-pichard,Société
"Au Haut-Karabakh, Stepanakert dans l'angoisse des frappes qui s'intensifient",2020/10/04,veronika-dorman,International
Fashion Week parisienne : la collapsologie peut aller se rhabiller,2020/10/04,sabrina-champenois,Mode
"Au procès des attentats de janvier 2015, la déradicalisation de Farid Benyettou en question",2020/10/04,chloe-pilorget-rezzouk,Société
Brigitte Macron a-t-elle perdu un procès en diffamation contre un gilet jaune ?,2020/10/04,fabien-leboucq,CheckNews
"Ecole à la maison : «L'existence de cas de radicalisation est incontestable, mais c’est marginal»",2020/10/04,cecile-bourgneuf,Société
Séparatisme : Darmanin annonce une pression accrue sur les associations,2020/10/04,bernadette-sauvaget,Société
"En Amérique centrale, les caravanes de migrants se remettent en marche",2020/10/04,francois-xavier-gomez,International
"A J-1, Suez oppose une fin de non-recevoir définitive à Veolia",2020/10/04,franck-bouaziz,Société
"Róisín Murphy, machine de nerfs",2020/10/04,olivier-lamm,Musique
"Carola Rackete, sur tous les ponts",2020/10/04,arnaud-vaulerin,International
"A. Swayze & The Ghosts, beaux diables de Tasmanie",2020/10/04,lelo-jimmy-batista,Musique
"Oklou, de la romance dans l’ère",2020/10/04,charline-lecarpentier,Musique
"François Jarrige : «La force du progrès technique, c’est de ne pas avoir à penser le fonctionnement de la société dans sa complexité»",2020/10/04,nicolas-celnik,Idées et Débats
«Un objet de culte cesse d’être vivant dans un musée»,2020/10/04,elisabeth-franck-dumas,Scènes
Recrutement dans la recherche : le CNRS recalé par la justice,2020/10/04,simon-blin,Idées et Débats
"Bridgestone: «Si l'usine ferme, qu’est-ce qu’il va nous rester à Béthune?»",2020/10/04,sheerazad-chekaik-chaila,Société
Nous courons de crise en crise en laissant derrière nous des parcelles de liberté,2020/10/04,sheerazad-chekaik-chaila,Idées et Débats
«Charlie» et Lagasnerie : sur deux blasphèmes,2020/10/04,daniel-schneidermann,Idées et Débats
"Non, les CDC américains n'ont pas déclaré que le port du masque était inutile, comme l'a dit la députée Martine Wonner",2020/10/04,fabien-leboucq,CheckNews
"Haut-Karabakh : la diplomatie au point mort, les affrontements s'intensifient",2020/10/04,nelly-didelot,International
"Gauchiste, le pape François ?",2020/10/04,bernadette-sauvaget,International
Les médecins de Trump évoquent son retour à la Maison Blanche dès lundi,2020/10/04,philippe-coste,International
"Trump à l'hôpital, conflit dans le Haut-Karabakh, crues «hors normes» dans les Alpes-Maritimes : l'essentiel de l'actu du week-end",2020/10/04,liberation,International
"En forêt de Bondy, une Nuit blanche poétique et politique ",2020/10/04,annabelle-martella,Culture
Suez vs Veolia : l’Etat compositeur d’OPA,2020/10/04,franck-bouaziz,Société
Crise sanitaire : «La peur peut finir par déclencher des mécanismes contre-productifs»,2020/10/04,simon-blin,Société
"Dans la vallée de la Roya, «on ne sait pas ce qu’on va trouver»",2020/10/04,mathilde-frenois,Société
Bruno Le Maire veut pousser Veolia et Suez à trouver un accord amiable,2020/10/04,franck-bouaziz,Société
"A Corbeil, une «dérive clientéliste»",2020/10/04,renaud-lecadre,Société
Haut-Karabakh : «Nous n’avons que nous-mêmes pour nous défendre»,2020/10/04,veronika-dorman,International
Le risque d’un conflit prolongé,2020/10/04,veronika-dorman,International
Système Dassault : services après vote,2020/10/04,renaud-lecadre,Société
"Kenzo Takada, la fête infinie",2020/10/04,sabrina-champenois,Mode
Crise sanitaire : une réponse politique gouvernée par l’incertitude,2020/10/04,eric-favereau,Politique
Covid-19 : cinq arguments des «rassuristes» passés au crible,2020/10/04,anais-moran,Société
"Covid-19 : à Paris, on se boit un dernier verre ?",2020/10/04,maxime-lemaitre,Société
Fantasmes,2020/10/04,christophe-israel,Editorial
"Covid-19 : rassurez-vous, qu’ils disaient",2020/10/04,anais-moran,Société
"Aurélie Châtelain : dans l’ombre de «Charlie», le procès d’un attentat raté",2020/10/04,alexandra-pichard,Société
Covid-19 : des «mesures contraignantes» à Paris annoncées lundi,2020/10/04,liberation,Société
"Chronique internationale : ""De la violence politique en Amérique""",2020/10/04,beligh-nabli,Tribunes
"Clara Burel, Fiona Ferro : à Roland-Garros, leur ascension fait sensation",2020/10/03,gregory-schneider,Sports
"«Dans la ville écluse», le Grand Paris par Maylis de Kerangal",2020/10/03,gregory-schneider,Société
"A Paris, la Fashion Week en quête d'énergie renouvelée",2020/10/03,marie-ottavi,Mode
"Le Soudan signe la paix, reste à la faire",2020/10/03,celian-mace,International
"On a filmé l'éclat d'une supernova, et autres nouvelles du ciel",2020/10/03,camille-gevaudan,Sciences
"A Valence, un fabricant de crampons dopé par un penalty de Cristiano Ronaldo",2020/10/03,maite-darnault,Sports
"Pour sauver les festivals, des états généraux en forme de séance de psy collective",2020/10/03,guillaume-tion,Culture
"En Tunisie, les martyrs du cluster",2020/10/03,ramses-kefi,International
"Will Butler, Grégory Desgranges, Elysian Fields… Ecoutez la playlist du cahier musique de «Libé»",2020/10/03,liberation,Musique
Années 1860 : le vélocipède est-il la plus noble conquête de l’homme ?,2020/10/03,gilles-dhers,Sports
Ceci n’est pas un masque,2020/10/03,christian-lehmann,Société
Tempête Alex : «On entendait la nature se déchaîner»,2020/10/03,mathilde-frenois,Société
"Covid : et soudain, Madrid est devenu une île",2020/10/03,francois-musseau,International
"Au Mexique, la tombola-gag de l'avion présidentiel",2020/10/02,emmanuelle-steels,International
Guerre dans le Haut-Karabakh : «C’est la survie de tout mon peuple qui est en jeu»,2020/10/02,veronika-dorman,International
Donald Trump annonce qu'il a été testé positif au Covid-19,2020/10/02,isabelle-hanne,International
"Georges de Peyrebrune, femme de lettres et du peuple",2020/10/02,isabelle-hanne,Livres
"Trump testé positif au Covid-19, plan d'action de Macron contre les «séparatismes», 5G... l'actu de ce vendredi matin",2020/10/02,liberation,International
"«Koh Lanta», et si la télé-réalité était un sport de haut-niveau ?",2020/10/02,seghir-lazri,Sports
Fashion Week : haut les cœurs et les corps ,2020/10/02,marie-ottavi,Mode
"Biomimétisme : «On est insérés dans un milieu, on a intérêt à fonctionner comme lui»",2020/10/02,aurelie-delmas,Environnement
«Les 20 000 salariés actionnaires de Suez sont engagés aux côtés de l'offre alternative d'Ardian»,2020/10/02,franck-bouaziz,Société
"Jean-Marc Rochette, loup y es-tu…",2020/10/02,didier-arnaud,Voyages
Google met un milliard de dollars sur la table pour faire plier la presse,2020/10/02,christophe-alix,Société
"Agression de colleuses, effets des lacrymos sur la santé reproductive, #Jegardemespoils… Septembre dans la vie des femmes",2020/10/02,marlene-thomas,International
Jean-Louis Borloo : «Je suis encore capable d’en emmerder quelques-uns»,2020/10/02,nicolas-massol,Politique
Un patient Covid sur trois hospitalisé en réanimation a-t-il moins de 65 ans ?,2020/10/02,emma-donada,CheckNews
Le séparatisme de Castaner contre les lois de La République en marche,2020/10/02,sylvain-chazot,Politique
"Au festival Chilowé, la microaventure c'est l'aventure",2020/10/02,didier-arnaud,Voyages
Les Egyptiens chassaient des oiseaux sauvages pour les momifier,2020/10/02,florian-bardou,Sciences
"Fin de l'éducation à domicile : peu d'élèves concernés, mais un vrai débat",2020/10/02,marie-piquemal,Société
Prisons : le Conseil constitutionnel s'attaque aux conditions de détention indignes,2020/10/02,julie-brafman,Société
"Silence on joue ! «Fall Guys», «Tell Me Why», «There is no Game», et plein d'autres",2020/10/02,julie-brafman,Culture
"Etats-Unis : Trump contaminé, la campagne bouleversée",2020/10/02,frederic-autran,International
"«En grande section, je commence à peine à retrouver un public d’élèves»",2020/10/02,cecile-bourgneuf,Société
"En Pologne, le nouveau ministre de l'Education compare «l'idéologie LGBT» au nazisme",2020/10/02,nelly-didelot,International
"Un million de morts dans le monde, restrictions en France, Trump positif… une semaine d’actu sur le coronavirus",2020/10/02,liberation,International
"«Alias», ton univers impitoyable",2020/10/02,clelia-cohen,Culture
Télépopmusik : «C’est une photo hantée»,2020/10/02,alexis-bernier,Musique
Rendez-vous,2020/10/02,alexis-bernier,Livres
Vient de paraître,2020/10/02,virginie-bloch-laine,Livres
"Trump-Biden, un affrontement sans bande-son",2020/10/02,virginie-bloch-laine,Musique
"Lisa Mandel, l’addiction s’il vous plaît",2020/10/02,marius-chapuis,Culture
"Emma Becker : «AC/DC, c’est de la musique de papa !»",2020/10/02,david-michel,Musique
"«18h30», transports amoureux",2020/10/02,olivier-lamm,Culture
Bernard Wallet : «C’était une femme et un homme des Lumières»,2020/10/02,mathieu-lindon,Livres
"Maison Adam, du même moule",2020/10/02,kim-hullot-guiot,Gastronomie
La deuxième sexualité de Simone de Beauvoir,2020/10/02,paul-b-preciado,Idées et Débats
"Gabrielle Wittkop, ascendant poison ",2020/10/02,mathieu-lindon,Livres
«Histoire du fils» : le Renaudot décerné à Marie-Hélène Lafon,2020/10/02,claire-devarrieux,Livres
Sur Libération.fr La semaine littéraire ,2020/10/02,claire-devarrieux,Livres
The Apartments de haut standing,2020/10/02,alexis-bernier,Musique
«L'Année du singe» de Patti Smith : rêves de comptoir,2020/10/02,guillaume-lecaplain,Livres
"«Nuit blanche», promenade de santé",2020/10/02,gilles-renault,Culture
Playlist,2020/10/02,gilles-renault,Musique
Lombre aucun doute,2020/10/02,patrice-demailly,Musique
Electronique sauce classique,2020/10/02,alexis-bartier,Musique
Frapper avant d’entrer,2020/10/02,jeremy-piette,Culture
"1938, dernier été avant cataclysme",2020/10/02,virginie-bloch-laine,Livres
Classement datalib des meilleures ventes de livres (semaine du 25/09  au 01/10/2020),2020/10/02,frederique-roussel,Livres
Chantons sous le Covid,2020/10/02,mathieu-lindon,Idées et Débats
Léonora Miano : «Je veux une Marianne amérindienne»,2020/10/02,cecile-daumas,Idées et Débats
Lou Reed Manhattan transfert,2020/10/02,alexis-bernier,Musique
Peinture de guerre,2020/10/02,sylvain-prudhomme,Idées et Débats
Prix de saison,2020/10/02,sylvain-prudhomme,Livres
Le voyage de Chirico,2020/10/02,judicael-lavrador,Culture
"Humboldt, Buffon, Michelet, Reclus, «l’art d’habiter le monde»",2020/10/02,gilles-fumey,Livres
"«C’est la nature de ""Yoga"" d’être impur» : Emmanuel Carrère répond à son ex-femme",2020/10/02,gilles-fumey,Livres
L'impossible politique étrangère européenne,2020/10/02,jean-quatremer,Europe
"Que se passera-t-il si Trump, positif au Covid-19, ne peut se présenter à l'élection présidentielle du 3 novembre ?",2020/10/02,service-checknews,CheckNews
"Trump contaminé, débat chaotique, impôts : une semaine de campagne présidentielle américaine",2020/10/02,frederic-autran,International
Le système solaire a un autre plan,2020/10/02,camille-gevaudan,Sciences
Séparatisme : mais où est passé le «en même temps» macronien ?,2020/10/02,laure-bretton,Société
Radio France : accord trouvé sur le plan social,2020/10/02,adrien-franque,Société
Grand Paris Express : on a vu le nouveau métro,2020/10/02,sibylle-vincendon,Société
Le profil des malades hospitalisés lors de la première vague du Covid révélé,2020/10/02,maxime-lemaitre,Société
"«On se demande pour qui roule le PNF, mais il ne roule pour personne»",2020/10/02,franck-bouaziz,Société
"Restaurateurs parisiens : «Si on ferme, on n'aura plus que ça à faire, d’aller manifester !»",2020/10/02,maxime-lemaitre,Société
"Biélorussie, Turquie : l’UE forte avec les faibles, faible avec les forts",2020/10/02,jean-quatremer,International
"Trump positif au Covid-19, guerre dans le Haut-Karabakh, mesures contre les «séparatismes» : l'essentiel de l'actualité de ce vendredi ",2020/10/02,liberation,International
Séparatisme : Macron a tranché,2020/10/02,alain-auffray,Société
Coronavirus en France : le rebond épidémique en cartes,2020/10/02,christelle-perrin,Société
Carnet d’échecs,2020/10/02,pierre-gravagna,Sports
Montebourg à Castex : «Comment le gouvernement peut-il laisser démanteler Suez ?»,2020/10/02,jean-christophe-feraud,Société
"L'Allemagne, 30 ans après l'unité : un malaise persistant à l'Est",2020/10/02,jean-christophe-feraud,Tribunes
Affaire Vincenzo Vecchi : «Nous vous demandons de mettre fin à cette injustice»,2020/10/02,jean-christophe-feraud,Société
Hollywood a le moral à zéro,2020/10/02,didier-peron,Cinéma
"Roland-Garros : Hugo Gaston, jeune, set et match",2020/10/02,gregory-schneider,Sports
"A Marseille, une semaine en rade de rades",2020/10/02,stephanie-harounyan,Société
Grand Paris Express  On a vu le nouveau métro,2020/10/02,sibylle-vincendon,Société
Justice,2020/10/02,dov-alfon,International
«Séparatisme» : le Président sort la carte scolaire,2020/10/02,lilian-alemagna,Société
"Conflit au Haut-Karabakh : derrière Bakou, Erdogan plastronne",2020/10/02,jeremie-berlioux,International
Braises,2020/10/02,alexandra-schwartzbrod,International
"Trump positif au Covid : symptômes légers, lourdes conséquences",2020/10/02,frederic-autran,International
La semaine de tous les contacts,2020/10/02,frederic-autran,International
"Haut-Karabakh : «Je me suis retourné, je n’avais plus de maison»",2020/10/02,veronika-dorman,International
Les deux journalistes français rapatriés,2020/10/02,veronika-dorman,International
Haut-Karabakh Au cœur de la guerre,2020/10/02,veronika-dorman,International
Plan B : le casse-tête des républicains,2020/10/02,frederic-autran,International
"Haut-Karabakh : dans le Caucase, une guerre qui cache d’autres bras de fer",2020/10/02,pierre-alonso,International
"De Jair Bolsonaro à Boris Johnson, les populistes pris à leur propre jeu",2020/10/02,lea-masseguin,International
Fashion week : de bonnes stratégies anti-déprime,2020/10/01,marie-ottavi,Mode
Chômage aux Etats-Unis : la crainte d'une seconde vague,2020/10/01,margot-davier,International
"Mesures anti-Covid en France, rachat de Suez, le secteur aérien fragilisé aux Etats-Unis... L'actu de ce jeudi matin",2020/10/01,liberation,International
"A Djibouti, «il est de plus en plus difficile de lutter contre le paludisme»",2020/10/01,lea-masseguin,International
Cancer du sein : le Covid entrave un peu plus la prévention,2020/10/01,nathalie-raulin,Société
"En Argentine, hommage unanime après la mort du dessinateur Quino",2020/10/01,mathilde-guillaume,Culture
Engie se donne jusqu'à lundi pour vendre définitivement Suez à Veolia,2020/10/01,franck-bouaziz,Société
Belgique : un gouvernement après quasiment deux ans de crise,2020/10/01,jean-quatremer,International
"En Europe, «le statut de protection des forêts primaires ne garantit pas leur conservation»",2020/10/01,coralie-schaub,Environnement
"«Le Souffle de la nuit», le vaudou a bon dos",2020/10/01,claire-devarrieux,Livres
"Musée du Quai-Branly : un procès pour «juger des infractions, pas l'histoire coloniale»",2020/10/01,elisabeth-franck-dumas,Culture
"Le petit-déjeuner, quel casse-tête !",2020/10/01,gilles-fumey,Tribunes
"Elections régionales : En marche se lance, mais fait profil bas ",2020/10/01,alain-auffray,Politique
Fred Perry retire un polo vampirisé par des suprémacistes blancs,2020/10/01,balla-fofana,Mode
"Tu mitonnes : il n'y a pas de grandes recettes, il n'y a que des grands cuisiniers",2020/10/01,jacky-durand,Gastronomie
"«Une délocalisation soutenue par l’Etat» : à Saint-Dié, l'impuissance des salariés d'Inteva",2020/10/01,frantz-durupt,Société
Cyclisme : un champion américain suspendu après une provocation trumpiste,2020/10/01,pierre-carrey,Sports
"«Ayi dans la rue», deux cinéastes filment ceux qui gardent la tête haute",2020/10/01,didier-arnaud,Voyages
"En maths, les élèves français continuent à décrocher",2020/10/01,marie-piquemal,Société
Contrôle au faciès : l'Etat jugé pour «harcèlement discriminatoire»,2020/10/01,marie-piquemal,Société
"Istanbul, terre d'accueil des exilés politiques",2020/10/01,jeremie-berlioux,International
"En Algérie, les avocats en grève réclament une justice libre",2020/10/01,jeremie-berlioux,International
"Brexit : face à Londres, la riposte judiciaire de Bruxelles",2020/10/01,nelly-didelot,International
Les «Traversées» sociales d’Edith Roux,2020/10/01,gilles-renault,Arts
"«Une représentation n’est pas une issue de secours, c’est une porte d’entrée»",2020/10/01,anne-diatkine,Scènes
"Sue Williamson, le glas de l’apartheid",2020/10/01,gilles-renault,Arts
"Cindy Sherman, liesse d’identités",2020/10/01,judicael-lavrador,Arts
La solution et l’énigme,2020/10/01,michael-foessel,Idées et Débats
Les élections américaines se joueront-elles dans les «suburbs» ?,2020/10/01,michael-foessel,Idées et Débats
"Entre les deux Allemagne, le fantôme de la frontière",2020/10/01,michael-foessel,Idées et Débats
Gardons nos distances !,2020/10/01,michael-foessel,Idées et Débats
"Violences conjugales, un «confinement sans fin»",2020/10/01,michael-foessel,Idées et Débats
"«Vols pour nulle part» : derrière l'emballement médiatique, le buzz marketing du transport aérien",2020/10/01,michael-foessel,CheckNews
Covid-19 : la métropole Aix-Marseille a-t-elle été placée injustement en zone d'alerte maximale ?,2020/10/01,cedric-mathiot,CheckNews
La malédiction des vilains grillages ,2020/10/01,sibylle-vincendon,Société
Alexeï Navalny accuse une nouvelle fois Poutine d'avoir voulu le tuer,2020/10/01,margot-davier,International
Conjoints violents : «Le bracelet antirapprochement ne doit pas occulter les réformes encore à mener»,2020/10/01,virginie-ballet,Société
"Pauline Harmange : elle, les hommes, elle les déteste",2020/10/01,erwan-cario,Idées et Débats
"Du «communautarisme» au «séparatisme», une mutation sémantique",2020/10/01,simon-blin,Idées et Débats
"5G : enchères terminées, 2,8 milliards d'euros pour l'Etat",2020/10/01,jerome-lefilliatre,Economie
"Face au Covid-19, les recettes du succès portugais",2020/10/01,francois-musseau,International
"Beyrouth, contre la déroute",2020/10/01,francois-musseau,International
"David Adjaye, premier architecte noir à recevoir la médaille d’or du Royal Institute of British Architects",2020/10/01,sonia-delesalle-stolper,Culture
"Situation du coronavirus en France, Gérard Larcher réélu président du Sénat, l’UE met en demeure le Royaume-Uni… L'actu de ce jeudi ",2020/10/01,liberation,International
Nouvelle-Calédonie : l’indépendance de nouveau face aux urnes,2020/10/01,antoine-pecquet,Société
Nouvelle-Calédonie : loyalistes et indépendantistes  se disputent le nickel de Goro,2020/10/01,antoine-pecquet,Société
"Istanbul, terre d’accueil des exilés politiques",2020/10/01,antoine-pecquet,International
Déblocage en Belgique : ceci est bien un gouvernement,2020/10/01,jean-quatremer,International
"Hyper Cacher : derrière l’attentat, les louches trafics d’un indic",2020/10/01,willy-le-devin,Société
Fred Perry : pas de polo pour les fachos,2020/10/01,balla-fofana,Mode
Islam : le projet périlleux de l’exécutif,2020/10/01,bernadette-sauvaget,Société
Jean-Luc Mélenchon : «L’eau ne devrait pas être l’objet d’une guerre entre actionnaires privés»,2020/10/01,rachid-laireche,Politique
Glissement,2020/10/01,alexandra-schwartzbrod,Editorial
"Ardian, le fragile espoir des salariés de Suez",2020/10/01,franck-bouaziz,Société
Séparatisme : un discours pour fâcher tout le monde,2020/10/01,alain-auffray,Société
Macron dans le piège du séparatisme,2020/10/01,alain-auffray,Société
Indicateurs épidémiques : l’opacité chronique du gouvernement,2020/10/01,cedric-mathiot,Société
Covid-19 : Paris et sa petite couronne en sursis,2020/10/01,nathalie-raulin,Politique
